miRNA_ID,SRR2976280,SRR2976297,SRR2976303,SRR2976307,SRR346516,SRR346517,SRR346518,SRR346519,Avg_Percent,Cumulative_Percent
hsa-miR-148a-3p,333743,201591,458682,470081,4179850,4471668,792652,1503545,0.1604853531670007,0.1604853531670007
hsa-let-7f-5p,644428,1559116,1016586,1767707,282988,1732414,86881,187052,0.119123814217449,0.2796091673844498
hsa-miR-182-5p,466115,642234,888842,656061,457335,432566,200128,180584,0.07002221713687652,0.3496313845213263
hsa-miR-181a-5p,742366,623588,535753,595973,89741,229788,23105,42454,0.05254152654237607,0.4021729110637024
hsa-let-7a-5p,200984,543566,269203,519536,220073,1504575,47289,181964,0.04905656273566802,0.4512294737993705
hsa-miR-375-3p,295157,407372,416488,466937,454185,310335,34364,67087,0.03992680976244113,0.4911562835618116
hsa-miR-22-3p,330371,278944,456322,307075,208341,148720,123371,158030,0.03750445935575399,0.5286607429175656
hsa-miR-141-3p,350485,147703,239583,261318,668077,343342,105143,146397,0.0343687379830444,0.56302948090061
hsa-miR-378a-3p,6711,7982,13870,9130,732699,200527,550726,148086,0.02811368939313281,0.5911431702937429
hsa-miR-146b-5p,106582,143753,188530,165376,348946,1126282,55804,58729,0.026638404253204,0.6177815745469468
hsa-miR-99b-5p,881154,104394,60318,232725,62794,38134,14830,21324,0.02521431543625482,0.6429958899832016
hsa-miR-10a-5p,404146,74435,28730,453475,44892,14533,10101,37420,0.01882935778850667,0.6618252477717083
hsa-miR-30b-5p,13163,17303,28702,12659,151546,229617,258353,235364,0.01785756385948476,0.679682811631193
hsa-miR-200a-3p,22816,9188,11113,15462,805417,368592,93230,88987,0.01601151230986213,0.6956943239410552
hsa-miR-30a-5p,130371,48552,80617,115007,452873,136408,84608,36830,0.01547678146916022,0.7111711054102154
hsa-miR-125a-5p,487718,81929,62494,145153,10427,20345,1278,2095,0.01470690718916045,0.7258780125993759
hsa-miR-21-5p,30852,17958,22240,33003,392657,179665,98084,163989,0.01381365195598361,0.7396916645553595
hsa-miR-30d-5p,72820,75697,78421,41455,170502,372440,53899,96115,0.01367111245946675,0.7533627770148263
hsa-miR-26a-5p,91956,63259,64691,95484,162842,203777,79648,78015,0.01325804505977303,0.7666208220745994
hsa-miR-29a-3p,3849,2055,3982,3021,277793,141708,153735,159210,0.01222043858469014,0.7788412606592894
hsa-miR-200c-3p,2925,2127,1715,2302,148986,942723,35835,53927,0.01109840853877591,0.7899396691980652
hsa-miR-191-5p,74076,60127,57081,71549,95220,100933,61727,46915,0.009611650101671459,0.7995513192997368
hsa-miR-378c,996,895,1009,1146,228761,49813,161214,39388,0.008047263197056276,0.807598582496793
hsa-let-7g-5p,18185,23090,32811,28548,123225,169714,69720,48879,0.007621963896484475,0.8152205463932775
hsa-miR-29c-3p,1489,805,1668,1602,205872,22985,124811,64437,0.007284404124788126,0.8225049505180657
hsa-let-7i-5p,83880,61610,53302,65196,55796,68779,11502,12656,0.006742625658415976,0.8292475761764817
hsa-let-7b-5p,8989,16543,24715,11200,121132,285333,17909,62057,0.006595211965043341,0.835842788141525
hsa-miR-101-3p,23784,6238,9486,25837,156600,18266,103879,26580,0.006342982352099913,0.842185770493625
hsa-miR-92a-3p,74217,53601,55810,53719,52662,38114,8977,26016,0.006272551895236489,0.8484583223888614
hsa-miR-200b-3p,5924,1550,928,3930,98831,447239,18385,34630,0.005930512136302214,0.8543888345251637
hsa-miR-24-3p,553,426,331,451,179588,52707,83077,42537,0.00546720891182978,0.8598560434369934
hsa-miR-25-3p,21250,22763,20757,27080,143259,60440,24244,31264,0.004992787138568779,0.8648488305755622
hsa-miR-3184-3p,94247,55268,20872,82167,11711,3747,1393,4588,0.004985901400367419,0.8698347319759295
hsa-miR-423-5p,94247,55268,20872,82167,11711,3747,1393,4588,0.004985901400367419,0.874820633376297
hsa-miR-181b-5p,46479,47928,30384,34047,50336,56907,11193,15383,0.004676381071611274,0.8794970144479082
hsa-miR-30c-5p,650,400,647,766,99081,65270,72268,36849,0.004408814439096288,0.8839058288870045
hsa-miR-27b-3p,39600,18375,16454,50179,73454,42605,18876,10130,0.004072180425812635,0.8879780093128171
hsa-miR-99a-5p,37090,7674,3744,10999,73996,65116,26612,30430,0.003786864424876127,0.8917648737376932
hsa-miR-183-5p,5708,5908,6696,6014,57482,83740,32744,41703,0.003618231685000148,0.8953831054226933
hsa-miR-103b,27702,25901,24907,29471,20570,51636,9177,13257,0.003259992520792216,0.8986430979434856
hsa-miR-103a-3p,27702,25901,24907,29471,20570,51636,9177,13257,0.003259992520792216,0.901903090464278
